,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
2020,2020,"[u""Tocat de l'Ala Blanc 2014""]",Coca i Fit\xf3,Montsant,Spain,3.6,14.16,2014.0
2021,2021,Gentil Alsace 2012,Hugel,Alsace,France,3.6,14.98,2012.0
2022,2022,The Reserve Sauvignon Blanc,14 Hands,Washington,United States,3.4,22.0,
2023,2023,Colomba Platino,Duca di Salaparuta,Terre Siciliane,Italy,3.6,13.98,
2024,2024,Sta. Rita Hills Chardonnay,Sanford,Santa Barbara County,United States,3.9,23.97,
2025,2025,La Cuarde Sauvignon Blanc,Francois Xavier,Loire,France,3.5,7.49,
2026,2026,Star,Duca di Salaparuta,Terre Siciliane,Italy,3.4,13.58,
2027,2027,Preludio Barrel Select Blanco 2013,Familia Deicas,Progreso,Uruguay,4.4,50.0,2013.0
2028,2028,B\xe2tard-Montrachet Grand Cru 2006,Louis Latour,C\xf4te de Nuits,France,4.3,109.95,2006.0
2029,2029,Centine Bianco 2013,Banfi,Toscana,Italy,3.6,12.98,2013.0
2030,2030,Langhe Arneis Montebertotto,Castello di Neive,Piemonte,Italy,3.6,15.69,
2031,2031,Wairau Valley Sauvignon Blanc 2014,Goldwater,Auckland,New Zealand,4.0,15.98,2014.0
2032,2032,Chardonnay,Grgich Hills,St. Helena,United States,4.0,42.97,
2033,2033,Marlborough Sauvignon Blanc 2015,Loveblock,Marlborough,New Zealand,4.0,19.47,2015.0
2034,2034,Madeira Terrantez 1977,Cossart Gordon,Madeira,Portugal,4.6,245.0,1977.0
2035,2035,Puligny-Montrachet 2013,Domaine Leflaive,Bourgogne,France,4.2,124.94,2013.0
2036,2036,C\xf4tes du Rh\xf4ne Blanc 2014,E. Guigal,Northern Rh\xf4ne,France,3.6,14.97,2014.0
2037,2037,Chardonnay 2012,Twisted,California,United States,3.2,7.03,2012.0
2038,2038,Pinot Gris Alsace Les Princes Abb\xe9s 2014,Domaines Schlumberger,Alsace,France,3.6,16.98,2014.0
2039,2039,Castello della Sala Cervaro della Sala 2012,Marchesi Antinori,Toscana,Italy,4.4,49.68,2012.0
2040,2040,Chardonnay,Elsa Bianchi,Mendoza,Argentina,3.4,11.68,
2041,2041,B\xe2tard-Montrachet Grand Cru,Olivier Leflaive,Bourgogne,France,4.5,467.64,
2042,2042,The Violinist Verdelho 2012,Mollydooker,McLaren Vale,Australia,3.6,22.38,2012.0
2043,2043,Puligny-Montrachet 1er Cru Les Caillerets,Michel Bouzereau,Bourgogne,France,4.4,50.29,
2044,2044,Riesling Trocken 2015,Keller,Rheinhessen,Germany,4.0,20.94,2015.0
2045,2045,Edna Valley Chardonnay 2011,Evening Land,California,United States,3.5,19.48,2011.0
2046,2046,"[u""Glen Ellen Proprietor's Reserve Chardonnay""]",Concannon,Livermore Valley,United States,3.3,4.99,
2047,2047,Etna Bianco 2013,Tenuta delle Terre Nere,Etna,Italy,3.8,23.15,2013.0
2048,2048,Gewurztraminer Alsace,Trimbach,Alsace,France,3.7,19.98,
2049,2049,Cellar Selection Sauvignon Blanc,Villa Maria,Auckland,New Zealand,3.9,17.34,
2050,2050,Sauvignon Blanc,Bouchard Finlayson,Walker Bay,South Africa,3.7,18.18,
2051,2051,Sauvignon Blanc 2013,Napa Cellars,Napa Valley,United States,3.6,14.98,2013.0
2052,2052,Premium Sauvignon Blanc 2014,Saint Clair,Marlborough,New Zealand,4.0,16.7,2014.0
2053,2053,Niersteiner Hipping Sp\xe4tlese Riesling 2012,Georg Albrecht Schneider,Rheinhessen,Germany,3.9,8.83,2012.0
2054,2054,Bridge Lane White Blend,,,,3.9,15.38,
2055,2055,Moscato,Banrock Station,South Eastern Australia,Australia,3.7,7.18,
2056,2056,Sauvignon Blanc 2013,Joel Gott,Napa Valley,United States,3.8,12.98,2013.0
2057,2057,Marlborough Sauvignon Blanc 2014,Harbor Town,Marlborough,New Zealand,3.4,12.98,2014.0
2058,2058,Sauvignon Blanc 2014,Round Pond Estate,Rutherford,United States,3.8,23.97,2014.0
2059,2059,Chardonnay,"[u""O'Shaughnessy""]",Napa Valley,United States,4.5,54.92,
2060,2060,Chardonnay Hyde Vineyard 2010,Ramey,Napa Valley,United States,4.0,65.36,2010.0
2061,2061,Riesling Semi Dry 2014,Dr. Konstantin Frank,New York,United States,4.0,15.48,2014.0
2062,2062,Albari\xf1o Varietales,Bodega Garzon,Maldonado,Uruguay,3.7,17.83,
2063,2063,Chardonnay 2013,"[u""Frog's Leap""]",Rutherford,United States,3.7,28.98,2013.0
2064,2064,Riesling Alsace 2014,"[u""d'Orschwiller""]",Alsace,France,3.4,8.39,2014.0
2065,2065,Blanc de Mer 2013,Bouchard Finlayson,Walker Bay,South Africa,3.7,13.97,2013.0
2066,2066,Sauvignon Blanc 2014,Saint Clair,Marlborough,New Zealand,3.8,16.97,2014.0
2067,2067,Chardonnay,Yellow Tail,South Eastern Australia,Australia,3.2,6.98,
2068,2068,Albarino 2015,Nora,R\xedas Baixas,Spain,3.8,15.97,2015.0
2069,2069,Marlborough Sauvignon Blanc,Black Cottage,Marlborough,New Zealand,3.9,20.39,
2070,2070,Sauvignon Blanc 2015,Los Vascos,Valle de Colchagua,Chile,3.7,8.98,2015.0
2071,2071,Triptyque Pouilly-Fum\xe9 2011,A Cailbourdin,Upper Loire,France,4.1,23.99,2011.0
2072,2072,Puligny-Montrachet,Etienne Sauzet,Puligny-Montrachet,France,4.1,69.63,
2073,2073,Chardonnay 2015,Welmoed,Stellenbosch,South Africa,3.2,4.92,2015.0
2074,2074,Quarzit Trocken Riesling,Peter Jakob Kuhn,Rheingau,Germany,3.9,28.36,
2075,2075,Primo Amore Moscato Provincia di Pavia 2008,Zonin,Veneto,Italy,4.6,11.0,2008.0
2076,2076,Friulano 2015,Livio Felluga,Colli Orientali del Friuli,Italy,3.6,20.42,2015.0
2077,2077,Viura - Tempranillo Blanco - Maturana Blanca Rioja,Dinastia Vivanco,Rioja,Spain,3.5,11.48,
2078,2078,Marlborough Riesling,Lawsons Dry Hills,Marlborough,New Zealand,3.4,16.34,
2079,2079,Sauvignon Blanc,Cloudy Bay,Marlborough,New Zealand,4.1,29.97,
